Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,SMA_20,SMA_200
2024-11-13 00:00:00-05:00,224.009994506836,226.6499938964844,222.759994506836,225.1199951171875,48566200,0.0,0.0,,0.0,0.0,0.0,,,,,
2024-11-14 00:00:00-05:00,225.0200042724609,228.8699951171875,225.0,228.22000122070312,44923900,0.0,0.0,,0.24729393418357404,0.04945878683671481,0.19783514734685922,,,,,
2024-11-15 00:00:00-05:00,226.3999938964844,226.9199981689453,224.2700042724609,225.0,47923700,0.0,0.0,,0.18135838428062812,0.07583870632549747,0.10551967795513065,,,,,
2024-11-18 00:00:00-05:00,225.25,229.7400054931641,225.1699981689453,228.0200042724609,44686000,0.0,0.0,,0.3685447371822761,0.1343799124968532,0.2341648246854229,,,,,
2024-11-19 00:00:00-05:00,226.97999572753903,230.1600036621093,226.6600036621093,228.27999877929688,36211800,0.0,0.0,,0.5317410741926096,0.21385214483600448,0.3178889293566052,,,,,
2024-11-20 00:00:00-05:00,228.0599975585937,229.92999267578125,225.88999938964844,229.0,35169600,0.0,0.0,,0.7109777196648395,0.3132772598017715,0.39770045986306796,,,,,
2024-11-21 00:00:00-05:00,228.8800048828125,230.1600036621093,225.7100067138672,228.5200042724609,42108300,0.0,0.0,,0.805012723240651,0.41162435248954743,0.39338837075110356,,,,,
2024-11-22 00:00:00-05:00,228.0599975585937,230.72000122070312,228.0599975585937,229.8699951171875,38168300,0.0,0.0,,0.9772045145304844,0.5247403848977348,0.4524641296327496,,,,,
2024-11-25 00:00:00-05:00,231.4600067138672,233.25,229.7400054931641,232.8699951171875,90152800,0.0,0.0,,1.34029261865183,0.6878508316485539,0.6524417870032762,,,,,
2024-11-26 00:00:00-05:00,233.3300018310547,235.57000732421875,233.3300018310547,235.0599975585937,45986200,0.0,0.0,,1.7841904149997845,0.9071187483188,0.8770716666809845,,,,,
2024-11-27 00:00:00-05:00,234.47000122070312,235.69000244140625,233.8099975585937,234.92999267578125,33498400,0.0,0.0,,2.1012701745922016,1.1459490335734803,0.9553211410187212,,,,,
2024-11-29 00:00:00-05:00,234.8099975585937,237.8099975585937,233.97000122070312,237.3300018310547,28481400,0.0,0.0,,2.5172021105956333,1.420199648977911,1.0970024616177223,,,,,
2024-12-02 00:00:00-05:00,237.2700042724609,240.7899932861328,237.1600036621093,239.58999633789065,48137100,0.0,0.0,,2.9946731081738847,1.7350943408171058,1.2595787673567789,,,,,
2024-12-03 00:00:00-05:00,239.8099975585937,242.759994506836,238.8999938964844,242.6499938964844,38861000,0.0,0.0,84.79554799582286,3.5787351125669034,2.1038224951670657,1.4749126173998377,,,,,
2024-12-04 00:00:00-05:00,242.8699951171875,244.1100006103516,241.25,243.009994506836,44383900,0.0,0.0,85.00977935972826,4.024268240337989,2.4879116442012505,1.5363565961367383,,,,,
2024-12-05 00:00:00-05:00,243.9900054931641,244.5399932861328,242.1300048828125,243.0399932861328,40033900,0.0,0.0,82.96262206863885,4.329865114970545,2.8563023383551096,1.4735627766154353,,,,,
2024-12-06 00:00:00-05:00,242.9100036621093,244.6300048828125,242.0800018310547,242.83999633789065,36870600,0.0,0.0,95.83762633984956,4.50399550104828,3.185840970893744,1.318154530154536,,,,,
2024-12-09 00:00:00-05:00,241.8300018310547,247.2400054931641,241.75,246.75,44649200,0.0,0.0,96.0196662260239,4.90100398169281,3.5288735730535574,1.3721304086392525,,,,,
2024-12-10 00:00:00-05:00,246.88999938964844,248.2100067138672,245.33999633789065,247.7700042724609,36914800,0.0,0.0,96.16296762115438,5.23756647707566,3.8706121538579783,1.3669543232176817,,,,,
2024-12-11 00:00:00-05:00,247.9600067138672,250.8000030517578,246.259994506836,246.4900054931641,45205800,0.0,0.0,90.35534603373596,5.339459509843948,4.164381625055173,1.1750778847887755,251.24011230129173,235.71799850463867,220.1958847079856,235.71799850463867,
2024-12-12 00:00:00-05:00,246.88999938964844,248.7400054931641,245.67999267578125,247.9600067138672,32667700,0.0,0.0,92.89496756329488,5.475706746743072,4.426646649392753,1.0490600973503188,252.45967426401774,236.85999908447266,221.2603239049276,236.85999908447266,
2024-12-13 00:00:00-05:00,247.8800048828125,249.2902069091797,246.2400054931641,246.67999267578125,14104013,0.0,0.0,87.20667900517454,5.4179425589763355,4.624905831309469,0.7930367276668662,253.41465351073367,237.78299865722656,222.15134380371944,237.78299865722656,
